selection_authority,league,build_timestamp,canonical_game_id,game_source_id,espn_game_id,game_date,away_team_display,home_team_display,away_team,home_team,home_score,away_score,actual_margin_home,actual_total,market_spread_home,market_total,model_name,home_line_proj,total_projection,spread_edge,total_edge,parlay_edge_score,spread_pick,spread_result,total_pick,total_result,parlay_result,Explanation,Home Line Projection,Line Bet,Line Result,Parlay Edge Score,Projected Away score,Projected Home Score,Spread Edge,Total Bet,Total Edge,Total Projection,actionability,agent_override_confidence_delta,agent_override_pick,agent_override_reason,arbitration_cluster,away_abbr,away_avg_points_against,away_avg_points_for,away_fatigue_flag,away_fatigue_score,away_last5_points_against,away_last5_points_for,away_net_rating,away_net_rating_last5,away_points,away_rest_bucket,away_rest_days,away_team_3pa,away_team_3pm,away_team_3pt_pct,away_team_id,cluster_alignment,confidence_reason,confidence_tier,disagreement_flag,fatigue_diff_home_minus_away,game_id,home_abbr,home_avg_points_against,home_avg_points_for,home_fatigue_flag,home_fatigue_score,home_injury_impact,home_last5_points_against,home_last5_points_for,home_net_rating,home_net_rating_last5,home_num_out,home_num_questionable,home_points,home_rest_bucket,home_rest_days,home_team_3pa,home_team_3pm,home_team_3pt_pct,home_team_id,moneyline_away,moneyline_away_last,moneyline_home,moneyline_home_last,nba_game_day_local,odds_commence_time_cst,odds_id,odds_join_method,odds_snapshot_last_utc,odds_source_used,ot_minutes,season_year,selected_home_line_proj,selected_parlay_result,selected_spread_edge,selected_spread_pick,selected_spread_result,selected_total_edge,selected_total_pick,selected_total_projection,selected_total_result,spread_away,spread_away_last,spread_home,spread_home_last,total,total_last,went_ot
Joel_Baseline_v1,nba,2026-09-12T19:39:19.073521+00:00,0022500001,,,2025-10-21T00:00:00Z,,,Houston Rockets,Oklahoma City Thunder,125,124,1.0,249.0,,,FatiguePlus_v3,2.75,231.41,10.25,5.409999999999997,10.159999999999997,AWAY,WIN,OVER,WIN,WIN,"Game: Houston Rockets @ Oklahoma City Thunder
Authority: Joel_Baseline_v1
Market: Spread -7.5 / 7.5, Total 226.0
Model Projection: Margin 2.75, Total 232.25
Spread Pick: AWAY (edge -10.25)
Total Pick: OVER (edge 6.25)",2.75,AWAY,,11.0,,,-10.25,OVER,6.25,232.25,ACTION,,,,CLUSTER_A,HOU,121.5,131.5,True,0.7,,,10.0,,124,3_plus_days,4,39,11,0.2821,1610612745,CLUSTER_A,Edge exceeds minimum threshold,HIGH,True,0.0,0022500001,OKC,103.5,108.0,True,0.7,0.0,108.2,104.4,4.5,-3.799999999999997,0,0,125,3_plus_days,3,52,13,0.25,1610612760,248,248,-297,-297,2025-10-21,,,home_away_nba_game_day_local,2026-03-10T03:53:38.250640+00:00,LAST,10,2025,2.75,WIN,-10.25,AWAY,WIN,6.25,OVER,232.25,WIN,7.5,7.5,-7.5,-7.5,226.0,226.0,True
Joel_Baseline_v1,nba,2026-09-12T19:39:19.073521+00:00,0022500001,,,2025-10-21T00:00:00Z,,,Houston Rockets,Oklahoma City Thunder,125,124,1.0,249.0,,,InjuryModel_v2,2.75,232.25,10.25,6.25,11.0,AWAY,WIN,OVER,WIN,WIN,"Game: Houston Rockets @ Oklahoma City Thunder
Authority: Joel_Baseline_v1
Market: Spread -7.5 / 7.5, Total 226.0
Model Projection: Margin 2.75, Total 232.25
Spread Pick: AWAY (edge -10.25)
Total Pick: OVER (edge 6.25)",2.75,AWAY,,11.0,,,-10.25,OVER,6.25,232.25,ACTION,,,,CLUSTER_A,HOU,121.5,131.5,True,0.7,,,10.0,,124,3_plus_days,4,39,11,0.2821,1610612745,CLUSTER_A,Edge exceeds minimum threshold,HIGH,True,0.0,0022500001,OKC,103.5,108.0,True,0.7,0.0,108.2,104.4,4.5,-3.799999999999997,0,0,125,3_plus_days,3,52,13,0.25,1610612760,248,248,-297,-297,2025-10-21,,,home_away_nba_game_day_local,2026-03-10T03:53:38.250640+00:00,LAST,10,2025,2.75,WIN,-10.25,AWAY,WIN,6.25,OVER,232.25,WIN,7.5,7.5,-7.5,-7.5,226.0,226.0,True
Joel_Baseline_v1,nba,2026-09-12T19:39:19.073521+00:00,0022500001,,,2025-10-21T00:00:00Z,,,Houston Rockets,Oklahoma City Thunder,125,124,1.0,249.0,,,Joel_Baseline_v1,2.75,232.25,-10.25,6.25,11.0,AWAY,WIN,OVER,WIN,WIN,"Game: Houston Rockets @ Oklahoma City Thunder
Authority: Joel_Baseline_v1
Market: Spread -7.5 / 7.5, Total 226.0
Model Projection: Margin 2.75, Total 232.25
Spread Pick: AWAY (edge -10.25)
Total Pick: OVER (edge 6.25)",2.75,AWAY,,11.0,,,-10.25,OVER,6.25,232.25,ACTION,,,,CLUSTER_A,HOU,121.5,131.5,True,0.7,,,10.0,,124,3_plus_days,4,39,11,0.2821,1610612745,CLUSTER_A,Edge exceeds minimum threshold,HIGH,True,0.0,0022500001,OKC,103.5,108.0,True,0.7,0.0,108.2,104.4,4.5,-3.799999999999997,0,0,125,3_plus_days,3,52,13,0.25,1610612760,248,248,-297,-297,2025-10-21,,,home_away_nba_game_day_local,2026-03-10T03:53:38.250640+00:00,LAST,10,2025,2.75,WIN,-10.25,AWAY,WIN,6.25,OVER,232.25,WIN,7.5,7.5,-7.5,-7.5,226.0,226.0,True
Joel_Baseline_v1,nba,2026-09-12T19:39:19.073521+00:00,0022500001,,,2025-10-21T00:00:00Z,,,Houston Rockets,Oklahoma City Thunder,125,124,1.0,249.0,,,MarketBlend_v1,2.2724999999999795,229.1875,9.77249999999998,3.1875,8.41500000000002,AWAY,WIN,OVER,WIN,WIN,"Game: Houston Rockets @ Oklahoma City Thunder
Authority: Joel_Baseline_v1
Market: Spread -7.5 / 7.5, Total 226.0
Model Projection: Margin 2.75, Total 232.25
Spread Pick: AWAY (edge -10.25)
Total Pick: OVER (edge 6.25)",2.75,AWAY,,11.0,,,-10.25,OVER,6.25,232.25,ACTION,,,,CLUSTER_A,HOU,121.5,131.5,True,0.7,,,10.0,,124,3_plus_days,4,39,11,0.2821,1610612745,CLUSTER_A,Edge exceeds minimum threshold,HIGH,True,0.0,0022500001,OKC,103.5,108.0,True,0.7,0.0,108.2,104.4,4.5,-3.799999999999997,0,0,125,3_plus_days,3,52,13,0.25,1610612760,248,248,-297,-297,2025-10-21,,,home_away_nba_game_day_local,2026-03-10T03:53:38.250640+00:00,LAST,10,2025,2.75,WIN,-10.25,AWAY,WIN,6.25,OVER,232.25,WIN,7.5,7.5,-7.5,-7.5,226.0,226.0,True
Joel_Baseline_v1,nba,2026-09-12T19:39:19.073521+00:00,0022500001,,,2025-10-21T00:00:00Z,,,Houston Rockets,Oklahoma City Thunder,125,124,1.0,249.0,,,MarketPressure_v2,2.75,230.6875,10.25,4.6875,9.4375,AWAY,WIN,OVER,WIN,WIN,"Game: Houston Rockets @ Oklahoma City Thunder
Authority: Joel_Baseline_v1
Market: Spread -7.5 / 7.5, Total 226.0
Model Projection: Margin 2.75, Total 232.25
Spread Pick: AWAY (edge -10.25)
Total Pick: OVER (edge 6.25)",2.75,AWAY,,11.0,,,-10.25,OVER,6.25,232.25,ACTION,,,,CLUSTER_A,HOU,121.5,131.5,True,0.7,,,10.0,,124,3_plus_days,4,39,11,0.2821,1610612745,CLUSTER_A,Edge exceeds minimum threshold,HIGH,True,0.0,0022500001,OKC,103.5,108.0,True,0.7,0.0,108.2,104.4,4.5,-3.799999999999997,0,0,125,3_plus_days,3,52,13,0.25,1610612760,248,248,-297,-297,2025-10-21,,,home_away_nba_game_day_local,2026-03-10T03:53:38.250640+00:00,LAST,10,2025,2.75,WIN,-10.25,AWAY,WIN,6.25,OVER,232.25,WIN,7.5,7.5,-7.5,-7.5,226.0,226.0,True
Joel_Baseline_v1,nba,2026-09-12T19:39:19.073521+00:00,0022500001,,,2025-10-21T00:00:00Z,,,Houston Rockets,Oklahoma City Thunder,125,124,1.0,249.0,,,Momentum5Game_v1,,,,,,,,,,,"Game: Houston Rockets @ Oklahoma City Thunder
Authority: Joel_Baseline_v1
Market: Spread -7.5 / 7.5, Total 226.0
Model Projection: Margin 2.75, Total 232.25
Spread Pick: AWAY (edge -10.25)
Total Pick: OVER (edge 6.25)",2.75,AWAY,,11.0,,,-10.25,OVER,6.25,232.25,ACTION,,,,CLUSTER_A,HOU,121.5,131.5,True,0.7,,,10.0,,124,3_plus_days,4,39,11,0.2821,1610612745,CLUSTER_A,Edge exceeds minimum threshold,HIGH,True,0.0,0022500001,OKC,103.5,108.0,True,0.7,0.0,108.2,104.4,4.5,-3.799999999999997,0,0,125,3_plus_days,3,52,13,0.25,1610612760,248,248,-297,-297,2025-10-21,,,home_away_nba_game_day_local,2026-03-10T03:53:38.250640+00:00,LAST,10,2025,2.75,WIN,-10.25,AWAY,WIN,6.25,OVER,232.25,WIN,7.5,7.5,-7.5,-7.5,226.0,226.0,True
Joel_Baseline_v1,nba,2026-09-12T19:39:19.073521+00:00,0022500001,,,2025-10-21T00:00:00Z,,,Houston Rockets,Oklahoma City Thunder,125,124,1.0,249.0,,,MonkeyDarts_v2,7.095228040238647,239.4687505253745,14.595228040238647,13.468750525374503,13.873522485135856,AWAY,WIN,OVER,WIN,WIN,"Game: Houston Rockets @ Oklahoma City Thunder
Authority: Joel_Baseline_v1
Market: Spread -7.5 / 7.5, Total 226.0
Model Projection: Margin 2.75, Total 232.25
Spread Pick: AWAY (edge -10.25)
Total Pick: OVER (edge 6.25)",2.75,AWAY,,11.0,,,-10.25,OVER,6.25,232.25,ACTION,,,,CLUSTER_A,HOU,121.5,131.5,True,0.7,,,10.0,,124,3_plus_days,4,39,11,0.2821,1610612745,CLUSTER_A,Edge exceeds minimum threshold,HIGH,True,0.0,0022500001,OKC,103.5,108.0,True,0.7,0.0,108.2,104.4,4.5,-3.799999999999997,0,0,125,3_plus_days,3,52,13,0.25,1610612760,248,248,-297,-297,2025-10-21,,,home_away_nba_game_day_local,2026-03-10T03:53:38.250640+00:00,LAST,10,2025,2.75,WIN,-10.25,AWAY,WIN,6.25,OVER,232.25,WIN,7.5,7.5,-7.5,-7.5,226.0,226.0,True
Joel_Baseline_v1,nba,2026-09-12T19:39:19.073521+00:00,0022500002,,,2025-10-21T00:00:00Z,,,Golden State Warriors,Los Angeles Lakers,109,119,-10.0,228.0,,,FatiguePlus_v3,4.25,227.0,2.25,2.5,4.75,AWAY,WIN,OVER,WIN,WIN,"Game: Golden State Warriors @ Los Angeles Lakers
Authority: Joel_Baseline_v1
Market: Spread 2.0 / -2.0, Total 224.5
Model Projection: Margin 4.25, Total 227.0
Spread Pick: AWAY (edge -2.25)
Total Pick: OVER (edge 2.5)",4.25,AWAY,,4.75,,,-2.25,OVER,2.5,227.0,ACTION,,,,CLUSTER_A,GSW,118.5,117.0,False,0.0,113.8,115.4,-1.5,1.6000000000000085,119,3_plus_days,3,40,17,0.425,1610612744,CLUSTER_A,Edge exceeds minimum threshold,MODERATE,True,0.0,0022500002,LAL,114.25,104.25,False,0.0,0.0,115.6,108.6,-10.0,-7.0,0,0,109,3_plus_days,3,32,8,0.25,1610612747,-130,-130,114,114,2025-10-21,,,home_away_nba_game_day_local,2026-03-10T03:53:38.250640+00:00,LAST,0,2025,4.25,WIN,-2.25,AWAY,WIN,2.5,OVER,227.0,WIN,-2.0,-2.0,2.0,2.0,224.5,224.5,False
Joel_Baseline_v1,nba,2026-09-12T19:39:19.073521+00:00,0022500002,,,2025-10-21T00:00:00Z,,,Golden State Warriors,Los Angeles Lakers,109,119,-10.0,228.0,,,InjuryModel_v2,4.25,227.0,2.25,2.5,4.75,AWAY,WIN,OVER,WIN,WIN,"Game: Golden State Warriors @ Los Angeles Lakers
Authority: Joel_Baseline_v1
Market: Spread 2.0 / -2.0, Total 224.5
Model Projection: Margin 4.25, Total 227.0
Spread Pick: AWAY (edge -2.25)
Total Pick: OVER (edge 2.5)",4.25,AWAY,,4.75,,,-2.25,OVER,2.5,227.0,ACTION,,,,CLUSTER_A,GSW,118.5,117.0,False,0.0,113.8,115.4,-1.5,1.6000000000000085,119,3_plus_days,3,40,17,0.425,1610612744,CLUSTER_A,Edge exceeds minimum threshold,MODERATE,True,0.0,0022500002,LAL,114.25,104.25,False,0.0,0.0,115.6,108.6,-10.0,-7.0,0,0,109,3_plus_days,3,32,8,0.25,1610612747,-130,-130,114,114,2025-10-21,,,home_away_nba_game_day_local,2026-03-10T03:53:38.250640+00:00,LAST,0,2025,4.25,WIN,-2.25,AWAY,WIN,2.5,OVER,227.0,WIN,-2.0,-2.0,2.0,2.0,224.5,224.5,False
Joel_Baseline_v1,nba,2026-09-12T19:39:19.073521+00:00,0022500002,,,2025-10-21T00:00:00Z,,,Golden State Warriors,Los Angeles Lakers,109,119,-10.0,228.0,,,Joel_Baseline_v1,4.25,227.0,-2.25,2.5,4.75,AWAY,WIN,OVER,WIN,WIN,"Game: Golden State Warriors @ Los Angeles Lakers
Authority: Joel_Baseline_v1
Market: Spread 2.0 / -2.0, Total 224.5
Model Projection: Margin 4.25, Total 227.0
Spread Pick: AWAY (edge -2.25)
Total Pick: OVER (edge 2.5)",4.25,AWAY,,4.75,,,-2.25,OVER,2.5,227.0,ACTION,,,,CLUSTER_A,GSW,118.5,117.0,False,0.0,113.8,115.4,-1.5,1.6000000000000085,119,3_plus_days,3,40,17,0.425,1610612744,CLUSTER_A,Edge exceeds minimum threshold,MODERATE,True,0.0,0022500002,LAL,114.25,104.25,False,0.0,0.0,115.6,108.6,-10.0,-7.0,0,0,109,3_plus_days,3,32,8,0.25,1610612747,-130,-130,114,114,2025-10-21,,,home_away_nba_game_day_local,2026-03-10T03:53:38.250640+00:00,LAST,0,2025,4.25,WIN,-2.25,AWAY,WIN,2.5,OVER,227.0,WIN,-2.0,-2.0,2.0,2.0,224.5,224.5,False
