team_name,canonical_name,generated_team_key,reason
Abilene Christian Wildcats,Abilene Christian Wildcats,ACW,missing from normalization config keys
Air Force Falcons,Air Force Falcons,AFF,missing from normalization config keys
Akron Zips,Akron Zips,AZ,missing from normalization config keys
Alabama A&M Bulldogs,Alabama A&M Bulldogs,AAA,missing from normalization config keys
Alabama Crimson Tide,Alabama Crimson Tide,ACT,missing from normalization config keys
Alabama State Hornets,Alabama State Hornets,ASH,missing from normalization config keys
Albany,Albany,ALB,missing from normalization config keys
Alcorn State Braves,Alcorn State Braves,ASB,missing from normalization config keys
App State Mountaineers,App State Mountaineers,ASM,missing from normalization config keys
Appalachian State Mountaineers,Appalachian State Mountaineers,ASM2,missing from normalization config keys
Arizona State Sun Devils,Arizona State Sun Devils,ASS,missing from normalization config keys
Arizona Wildcats,Arizona Wildcats,AW,missing from normalization config keys
Arkansas Pine Bluff Golden Lions,Arkansas Pine Bluff Golden Lions,APB,missing from normalization config keys
Arkansas Razorbacks,Arkansas Razorbacks,AR,missing from normalization config keys
Arkansas State Red Wolves,Arkansas State Red Wolves,ASR,missing from normalization config keys
Arkansas-Pine Bluff Golden Lions,Arkansas-Pine Bluff Golden Lions,APB2,missing from normalization config keys
Army Black Knights,Army Black Knights,ABK,missing from normalization config keys
Auburn Tigers,Auburn Tigers,AT,missing from normalization config keys
Austin Peay Governors,Austin Peay Governors,APG,missing from normalization config keys
BYU Cougars,BYU Cougars,BC,missing from normalization config keys
Ball State Cardinals,Ball State Cardinals,BSC,missing from normalization config keys
Baylor Bears,Baylor Bears,BB,missing from normalization config keys
Bethune-Cookman Wildcats,Bethune-Cookman Wildcats,BCW,missing from normalization config keys
Boise State Broncos,Boise State Broncos,BSB,missing from normalization config keys
Boston College Eagles,Boston College Eagles,BCE,missing from normalization config keys
Bowling Green Falcons,Bowling Green Falcons,BGF,missing from normalization config keys
Bryant Bulldogs,Bryant Bulldogs,BB2,missing from normalization config keys
Bucknell Bison,Bucknell Bison,BB3,missing from normalization config keys
Buffalo Bulls,Buffalo Bulls,BB4,missing from normalization config keys
Cal Poly Mustangs,Cal Poly Mustangs,CPM,missing from normalization config keys
California Golden Bears,California Golden Bears,CGB,missing from normalization config keys
Campbell Fighting Camels,Campbell Fighting Camels,CFC,missing from normalization config keys
Central Arkansas Bears,Central Arkansas Bears,CAB,missing from normalization config keys
Central Connecticut Blue Devils,Central Connecticut Blue Devils,CCB,missing from normalization config keys
Central Michigan Chippewas,Central Michigan Chippewas,CMC,missing from normalization config keys
Charleston Southern Buccaneers,Charleston Southern Buccaneers,CSB,missing from normalization config keys
Charlotte 49ers,Charlotte 49ers,C4,missing from normalization config keys
Chattanooga Mocs,Chattanooga Mocs,CM,missing from normalization config keys
Cincinnati Bearcats,Cincinnati Bearcats,CB,missing from normalization config keys
Citadel Bulldogs,Citadel Bulldogs,CB2,missing from normalization config keys
Clemson Tigers,Clemson Tigers,CT,missing from normalization config keys
Coastal Carolina Chanticleers,Coastal Carolina Chanticleers,CCC,missing from normalization config keys
Colgate Raiders,Colgate Raiders,CR,missing from normalization config keys
Colorado Buffaloes,Colorado Buffaloes,CB3,missing from normalization config keys
Colorado State Rams,Colorado State Rams,CSR,missing from normalization config keys
Delaware Blue Hens,Delaware Blue Hens,DBH,missing from normalization config keys
Delaware State Hornets,Delaware State Hornets,DSH,missing from normalization config keys
Duke Blue Devils,Duke Blue Devils,DBD,missing from normalization config keys
Duquesne Dukes,Duquesne Dukes,DD,missing from normalization config keys
East Carolina Pirates,East Carolina Pirates,ECP,missing from normalization config keys
East Tennessee State Buccaneers,East Tennessee State Buccaneers,ETS,missing from normalization config keys
East Texas A&M Lions,East Texas A&M Lions,ETA,missing from normalization config keys
Eastern Illinois Panthers,Eastern Illinois Panthers,EIP,missing from normalization config keys
Eastern Kentucky Colonels,Eastern Kentucky Colonels,EKC,missing from normalization config keys
Eastern Michigan Eagles,Eastern Michigan Eagles,EME,missing from normalization config keys
Eastern Washington Eagles,Eastern Washington Eagles,EWE,missing from normalization config keys
Elon Phoenix,Elon Phoenix,EP,missing from normalization config keys
Florida A&M Rattlers,Florida A&M Rattlers,FAA,missing from normalization config keys
Florida Atlantic Owls,Florida Atlantic Owls,FAO,missing from normalization config keys
Florida Gators,Florida Gators,FG,missing from normalization config keys
Florida International Panthers,Florida International Panthers,FIP,missing from normalization config keys
Florida State Seminoles,Florida State Seminoles,FSS,missing from normalization config keys
Fordham Rams,Fordham Rams,FR,missing from normalization config keys
Fresno State Bulldogs,Fresno State Bulldogs,FSB,missing from normalization config keys
Furman Paladins,Furman Paladins,FP,missing from normalization config keys
Gardner-Webb Runnin Bulldogs,Gardner-Webb Runnin Bulldogs,GWR,missing from normalization config keys
Georgia Bulldogs,Georgia Bulldogs,GB,missing from normalization config keys
Georgia Southern Eagles,Georgia Southern Eagles,GSE,missing from normalization config keys
Georgia State Panthers,Georgia State Panthers,GSP,missing from normalization config keys
Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,GTY,missing from normalization config keys
Grambling State Tigers,Grambling State Tigers,GST,missing from normalization config keys
Hampton Pirates,Hampton Pirates,HP,missing from normalization config keys
Hawai'i Rainbow Warriors,Hawai'i Rainbow Warriors,HIR,missing from normalization config keys
Hawaii Rainbow Warriors,Hawaii Rainbow Warriors,HRW,missing from normalization config keys
Holy Cross Crusaders,Holy Cross Crusaders,HCC,missing from normalization config keys
Houston Baptist Huskies,Houston Baptist Huskies,HBH,missing from normalization config keys
Houston Christian Huskies,Houston Christian Huskies,HCH,missing from normalization config keys
Houston Cougars,Houston Cougars,HC,missing from normalization config keys
Howard Bison,Howard Bison,HB,missing from normalization config keys
Idaho State Bengals,Idaho State Bengals,ISB,missing from normalization config keys
Idaho Vandals,Idaho Vandals,IV,missing from normalization config keys
Illinois Fighting Illini,Illinois Fighting Illini,IFI,missing from normalization config keys
Illinois State Redbirds,Illinois State Redbirds,ISR,missing from normalization config keys
Incarnate Word Cardinals,Incarnate Word Cardinals,IWC,missing from normalization config keys
Indiana Hoosiers,Indiana Hoosiers,IH,missing from normalization config keys
Indiana State Sycamores,Indiana State Sycamores,ISS,missing from normalization config keys
Iowa Hawkeyes,Iowa Hawkeyes,IH2,missing from normalization config keys
Iowa State Cyclones,Iowa State Cyclones,ISC,missing from normalization config keys
Jackson State Tigers,Jackson State Tigers,JST,missing from normalization config keys
Jacksonville State Gamecocks,Jacksonville State Gamecocks,JSG,missing from normalization config keys
James Madison Dukes,James Madison Dukes,JMD,missing from normalization config keys
Kansas Jayhawks,Kansas Jayhawks,KJ,missing from normalization config keys
Kansas State Wildcats,Kansas State Wildcats,KSW,missing from normalization config keys
Kennesaw State Owls,Kennesaw State Owls,KSO,missing from normalization config keys
Kent State Golden Flashes,Kent State Golden Flashes,KSG,missing from normalization config keys
Kentucky Wildcats,Kentucky Wildcats,KW,missing from normalization config keys
LIU Sharks,LIU Sharks,LS,missing from normalization config keys
LSU Tigers,LSU Tigers,LT,missing from normalization config keys
Lafayette Leopards,Lafayette Leopards,LL,missing from normalization config keys
Lamar Cardinals,Lamar Cardinals,LC,missing from normalization config keys
Liberty Flames,Liberty Flames,LF,missing from normalization config keys
Lindenwood Lions,Lindenwood Lions,LL2,missing from normalization config keys
Long Island University Sharks,Long Island University Sharks,LIU,missing from normalization config keys
Louisiana Ragin Cajuns,Louisiana Ragin Cajuns,LRC,missing from normalization config keys
Louisiana Ragin' Cajuns,Louisiana Ragin' Cajuns,LRC2,missing from normalization config keys
Louisiana Tech Bulldogs,Louisiana Tech Bulldogs,LTB,missing from normalization config keys
Louisville Cardinals,Louisville Cardinals,LC2,missing from normalization config keys
Maine Black Bears,Maine Black Bears,MBB,missing from normalization config keys
Marshall Thundering Herd,Marshall Thundering Herd,MTH,missing from normalization config keys
Maryland Terrapins,Maryland Terrapins,MT,missing from normalization config keys
Massachusetts Minutemen,Massachusetts Minutemen,MM,missing from normalization config keys
McNeese State Cowboys,McNeese State Cowboys,MSC,missing from normalization config keys
Memphis Tigers,Memphis Tigers,MT2,missing from normalization config keys
Mercer Bears,Mercer Bears,MB,missing from normalization config keys
Mercyhurst Lakers,Mercyhurst Lakers,ML,missing from normalization config keys
Merrimack Warriors,Merrimack Warriors,MW,missing from normalization config keys
Miami (OH) RedHawks,Miami (OH) RedHawks,MOR,missing from normalization config keys
Miami Hurricanes,Miami Hurricanes,MH,missing from normalization config keys
Michigan State Spartans,Michigan State Spartans,MSS,missing from normalization config keys
Michigan Wolverines,Michigan Wolverines,MW2,missing from normalization config keys
Middle Tennessee Blue Raiders,Middle Tennessee Blue Raiders,MTB,missing from normalization config keys
Minnesota Golden Gophers,Minnesota Golden Gophers,MGG,missing from normalization config keys
Mississippi State Bulldogs,Mississippi State Bulldogs,MSB,missing from normalization config keys
Mississippi Valley State Delta Devils,Mississippi Valley State Delta Devils,MVS,missing from normalization config keys
Missouri State Bears,Missouri State Bears,MSB2,missing from normalization config keys
