game_id,game_date,model_name,total_projection,home_line_proj,spread_pick,total_pick,spread_edge,total_edge,parlay_edge_score
001094ad5e8edd36b0f407a392085d77,2025-10-11,Football_KeyNumberGuard_v1,57.5,14.5,,,0.0,0.0,0
001094ad5e8edd36b0f407a392085d77,2025-10-11,Football_LineMovement_v1,57.5,14.5,,,0.0,0.0,0
001094ad5e8edd36b0f407a392085d77,2025-10-11,Football_MarketBlend_v1,57.0,14.25,HOME,UNDER,0.25,-0.5,0.75
001094ad5e8edd36b0f407a392085d77,2025-10-11,Football_MarketConsensus_v1,57.5,14.5,,,0.0,0.0,0
001094ad5e8edd36b0f407a392085d77,2025-10-11,Football_SpreadValue_v1,57.5,13.75,HOME,,0.75,0.0,0.75
001094ad5e8edd36b0f407a392085d77,2025-10-11,Football_TotalValue_v1,56.5,14.5,,UNDER,0.0,-1.0,1.0
002b7d85d301b778efcd83e8bd8cfbd7,2025-11-06,Football_KeyNumberGuard_v1,42.5,-14.5,,,0.0,0.0,0
002b7d85d301b778efcd83e8bd8cfbd7,2025-11-06,Football_LineMovement_v1,42.5,-14.5,,,0.0,0.0,0
002b7d85d301b778efcd83e8bd8cfbd7,2025-11-06,Football_MarketBlend_v1,43.0,-14.25,AWAY,OVER,-0.25,0.5,0.75
002b7d85d301b778efcd83e8bd8cfbd7,2025-11-06,Football_MarketConsensus_v1,42.5,-14.5,,,0.0,0.0,0
002b7d85d301b778efcd83e8bd8cfbd7,2025-11-06,Football_SpreadValue_v1,42.5,-13.75,AWAY,,-0.75,0.0,0.75
002b7d85d301b778efcd83e8bd8cfbd7,2025-11-06,Football_TotalValue_v1,43.5,-14.5,,OVER,0.0,1.0,1.0
00a6974f28c6bc5a62c7dddffe277772,2025-10-18,Football_KeyNumberGuard_v1,58.0,2.5,,,0.0,0.0,0
00a6974f28c6bc5a62c7dddffe277772,2025-10-18,Football_LineMovement_v1,58.0,2.5,,,0.0,0.0,0
00a6974f28c6bc5a62c7dddffe277772,2025-10-18,Football_MarketBlend_v1,57.5,2.25,,UNDER,0.25,-0.5,0.75
00a6974f28c6bc5a62c7dddffe277772,2025-10-18,Football_MarketConsensus_v1,58.0,2.5,,,0.0,0.0,0
00a6974f28c6bc5a62c7dddffe277772,2025-10-18,Football_SpreadValue_v1,58.0,1.75,HOME,,0.75,0.0,0.75
00a6974f28c6bc5a62c7dddffe277772,2025-10-18,Football_TotalValue_v1,57.0,2.5,,UNDER,0.0,-1.0,1.0
00e4a622dd9d352a89042411d98011c2,2025-09-27,Football_KeyNumberGuard_v1,50.0,-7.5,,,0.0,0.0,0
00e4a622dd9d352a89042411d98011c2,2025-09-27,Football_LineMovement_v1,50.0,-7.5,,,0.0,0.0,0
00e4a622dd9d352a89042411d98011c2,2025-09-27,Football_MarketBlend_v1,49.5,-7.25,,UNDER,-0.25,-0.5,0.75
00e4a622dd9d352a89042411d98011c2,2025-09-27,Football_MarketConsensus_v1,50.0,-7.5,,,0.0,0.0,0
00e4a622dd9d352a89042411d98011c2,2025-09-27,Football_SpreadValue_v1,50.0,-6.75,AWAY,,-0.75,0.0,0.75
00e4a622dd9d352a89042411d98011c2,2025-09-27,Football_TotalValue_v1,49.0,-7.5,,UNDER,0.0,-1.0,1.0
011ef17b2d5d53a4f74992fa28c703ce,2025-11-29,Football_KeyNumberGuard_v1,50.5,-6.5,,,0.0,0.0,0
011ef17b2d5d53a4f74992fa28c703ce,2025-11-29,Football_LineMovement_v1,50.5,-6.5,,,0.0,0.0,0
011ef17b2d5d53a4f74992fa28c703ce,2025-11-29,Football_MarketBlend_v1,50.0,-6.25,,UNDER,-0.25,-0.5,0.75
011ef17b2d5d53a4f74992fa28c703ce,2025-11-29,Football_MarketConsensus_v1,50.5,-6.5,,,0.0,0.0,0
011ef17b2d5d53a4f74992fa28c703ce,2025-11-29,Football_SpreadValue_v1,50.5,-5.75,AWAY,,-0.75,0.0,0.75
011ef17b2d5d53a4f74992fa28c703ce,2025-11-29,Football_TotalValue_v1,49.5,-6.5,,UNDER,0.0,-1.0,1.0
014f34fb67363402c0c5d90db5115c55,2025-11-15,Football_KeyNumberGuard_v1,64.5,-7.5,,,0.0,0.0,0
014f34fb67363402c0c5d90db5115c55,2025-11-15,Football_LineMovement_v1,64.5,-7.5,,,0.0,0.0,0
014f34fb67363402c0c5d90db5115c55,2025-11-15,Football_MarketBlend_v1,64.0,-7.25,,UNDER,-0.25,-0.5,0.75
014f34fb67363402c0c5d90db5115c55,2025-11-15,Football_MarketConsensus_v1,64.5,-7.5,,,0.0,0.0,0
014f34fb67363402c0c5d90db5115c55,2025-11-15,Football_SpreadValue_v1,64.5,-6.75,AWAY,,-0.75,0.0,0.75
014f34fb67363402c0c5d90db5115c55,2025-11-15,Football_TotalValue_v1,63.5,-7.5,,UNDER,0.0,-1.0,1.0
0169b39d461abff544e93d0287c1fab1,2025-10-04,Football_KeyNumberGuard_v1,56.5,-12.5,,,0.0,0.0,0
0169b39d461abff544e93d0287c1fab1,2025-10-04,Football_LineMovement_v1,56.5,-12.5,,,0.0,0.0,0
