game_id,game_date,model_name,total_projection,home_line_proj,spread_pick,total_pick,spread_edge,total_edge,parlay_edge_score
000fc688beb4fc004ecdad115d9adb1c,2026-12-20,Football_KeyNumberGuard_v1,47.5,2.5,,,0.0,0.0,0
000fc688beb4fc004ecdad115d9adb1c,2026-12-20,Football_LineMovement_v1,47.5,2.5,,,0.0,0.0,0
000fc688beb4fc004ecdad115d9adb1c,2026-12-20,Football_MarketBlend_v1,47.0,2.25,,UNDER,0.25,-0.5,0.75
000fc688beb4fc004ecdad115d9adb1c,2026-12-20,Football_MarketConsensus_v1,47.5,2.5,,,0.0,0.0,0
000fc688beb4fc004ecdad115d9adb1c,2026-12-20,Football_SpreadValue_v1,47.5,1.75,HOME,,0.75,0.0,0.75
000fc688beb4fc004ecdad115d9adb1c,2026-12-20,Football_TotalValue_v1,46.5,2.5,,UNDER,0.0,-1.0,1.0
014282b888c741b7d70c857c09f40aa7,2026-11-08,Football_KeyNumberGuard_v1,42.5,3.0,,,0.0,0.0,0
014282b888c741b7d70c857c09f40aa7,2026-11-08,Football_LineMovement_v1,42.5,3.0,,,0.0,0.0,0
014282b888c741b7d70c857c09f40aa7,2026-11-08,Football_MarketBlend_v1,43.0,2.75,,OVER,0.25,0.5,0.75
014282b888c741b7d70c857c09f40aa7,2026-11-08,Football_MarketConsensus_v1,42.5,3.0,,,0.0,0.0,0
014282b888c741b7d70c857c09f40aa7,2026-11-08,Football_SpreadValue_v1,42.5,2.25,HOME,,0.75,0.0,0.75
014282b888c741b7d70c857c09f40aa7,2026-11-08,Football_TotalValue_v1,43.5,3.0,,OVER,0.0,1.0,1.0
01548e41e7ba5318bb25c9bc2a32f73d,2026-12-11,Football_KeyNumberGuard_v1,43.5,-4.5,,,0.0,0.0,0
01548e41e7ba5318bb25c9bc2a32f73d,2026-12-11,Football_LineMovement_v1,43.5,-4.5,,,0.0,0.0,0
01548e41e7ba5318bb25c9bc2a32f73d,2026-12-11,Football_MarketBlend_v1,44.0,-4.25,AWAY,OVER,-0.25,0.5,0.75
01548e41e7ba5318bb25c9bc2a32f73d,2026-12-11,Football_MarketConsensus_v1,43.5,-4.5,,,0.0,0.0,0
01548e41e7ba5318bb25c9bc2a32f73d,2026-12-11,Football_SpreadValue_v1,43.5,-3.75,AWAY,,-0.75,0.0,0.75
01548e41e7ba5318bb25c9bc2a32f73d,2026-12-11,Football_TotalValue_v1,44.5,-4.5,,OVER,0.0,1.0,1.0
016f76d8237e8d4eb62b9c2ef68381bb,2025-11-02,Football_KeyNumberGuard_v1,51.5,2.5,,,0.0,0.0,0
016f76d8237e8d4eb62b9c2ef68381bb,2025-11-02,Football_LineMovement_v1,51.5,2.5,,,0.0,0.0,0
016f76d8237e8d4eb62b9c2ef68381bb,2025-11-02,Football_MarketBlend_v1,51.0,2.25,,UNDER,0.25,-0.5,0.75
016f76d8237e8d4eb62b9c2ef68381bb,2025-11-02,Football_MarketConsensus_v1,51.5,2.5,,,0.0,0.0,0
016f76d8237e8d4eb62b9c2ef68381bb,2025-11-02,Football_SpreadValue_v1,51.5,1.75,HOME,,0.75,0.0,0.75
016f76d8237e8d4eb62b9c2ef68381bb,2025-11-02,Football_TotalValue_v1,50.5,2.5,,UNDER,0.0,-1.0,1.0
01baed6f9d6482c5d89d37379c7c63c7,2027-01-10,Football_KeyNumberGuard_v1,41.5,3.0,,,0.0,0.0,0
01baed6f9d6482c5d89d37379c7c63c7,2027-01-10,Football_LineMovement_v1,41.5,3.0,,,0.0,0.0,0
01baed6f9d6482c5d89d37379c7c63c7,2027-01-10,Football_MarketBlend_v1,41.5,3.0,,,0.0,0.0,0
01baed6f9d6482c5d89d37379c7c63c7,2027-01-10,Football_MarketConsensus_v1,41.5,3.0,,,0.0,0.0,0
01baed6f9d6482c5d89d37379c7c63c7,2027-01-10,Football_SpreadValue_v1,41.5,3.0,,,0.0,0.0,0
01baed6f9d6482c5d89d37379c7c63c7,2027-01-10,Football_TotalValue_v1,41.5,3.0,,,0.0,0.0,0
0236f9aa68d65ea03bd1ca025b749c20,2026-12-06,Football_KeyNumberGuard_v1,48.0,-3.0,,,0.0,0.0,0
