team_key,team_name,normalized_name,aliases,source_system
ARI,Arizona Cardinals,arizona cardinals,Arizona,normalization_config
ATL,Atlanta Falcons,atlanta falcons,Atlanta,normalization_config
BAL,Baltimore Ravens,baltimore ravens,Baltimore,normalization_config
BUF,Buffalo Bills,buffalo bills,Buffalo,normalization_config
CAR,Carolina Panthers,carolina panthers,Carolina,normalization_config
CHI,Chicago Bears,chicago bears,Chicago,normalization_config
CIN,Cincinnati Bengals,cincinnati bengals,Cincinnati,normalization_config
CLE,Cleveland Browns,cleveland browns,Cleveland,normalization_config
DAL,Dallas Cowboys,dallas cowboys,Dallas,normalization_config
DEN,Denver Broncos,denver broncos,Denver,normalization_config
DET,Detroit Lions,detroit lions,Detroit,normalization_config
GB,Green Bay Packers,green bay packers,Green Bay,normalization_config
HOU,Houston Texans,houston texans,Houston,normalization_config
IND,Indianapolis Colts,indianapolis colts,Indianapolis,normalization_config
JAX,Jacksonville Jaguars,jacksonville jaguars,Jacksonville,normalization_config
KC,Kansas City Chiefs,kansas city chiefs,Kansas City,normalization_config
LV,Las Vegas Raiders,las vegas raiders,Las Vegas,normalization_config
LAC,Los Angeles Chargers,los angeles chargers,LA Chargers,normalization_config
LAR,Los Angeles Rams,los angeles rams,LA Rams,normalization_config
MIA,Miami Dolphins,miami dolphins,Miami,normalization_config
MIN,Minnesota Vikings,minnesota vikings,Minnesota,normalization_config
NE,New England Patriots,new england patriots,New England,normalization_config
NO,New Orleans Saints,new orleans saints,New Orleans,normalization_config
NYG,New York Giants,new york giants,NY Giants,normalization_config
NYJ,New York Jets,new york jets,NY Jets,normalization_config
PHI,Philadelphia Eagles,philadelphia eagles,Philadelphia,normalization_config
PIT,Pittsburgh Steelers,pittsburgh steelers,Pittsburgh,normalization_config
SF,San Francisco 49ers,san francisco 49ers,San Francisco,normalization_config
SEA,Seattle Seahawks,seattle seahawks,Seattle,normalization_config
TB,Tampa Bay Buccaneers,tampa bay buccaneers,Tampa Bay,normalization_config
TEN,Tennessee Titans,tennessee titans,Tennessee,normalization_config
WAS,Washington Commanders,washington commanders,Washington,normalization_config
