league,game_id,game_date,commence_time,home_team,away_team,home_team_key,away_team_key,status,completed,source_system,has_schedule_match,bookmaker_count,market_count,has_h2h,has_spreads,has_totals,display_matchup,display_time_utc,bridge_warning
nhl,225b5cb299e929c06658a0340ad5b835,2026-06-15,2026-06-15T00:00:00Z,Vegas Golden Knights,Carolina Hurricanes,VGK,CAR,,False,odds_api_flattened,True,11,3,True,True,True,Carolina Hurricanes at Vegas Golden Knights,2026-06-15T00:00:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
nhl,9de33ce1013f2a3375dbded2c9fbc7d6,2026-09-29,2026-09-29T21:10:00Z,Carolina Hurricanes,Florida Panthers,CAR,FLA,,False,odds_api_flattened,False,7,3,True,True,True,Florida Panthers at Carolina Hurricanes,2026-09-29T21:10:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
nhl,485b295347cb22f002e014cb87813ed7,2026-09-29,2026-09-29T23:10:00Z,Toronto Maple Leafs,Montréal Canadiens,TOR,MAC,,False,odds_api_flattened,False,7,3,True,True,True,Montréal Canadiens at Toronto Maple Leafs,2026-09-29T23:10:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
nhl,ac3cb11040dbdb0d2ccfa53e7d6b6cda,2026-09-30,2026-09-30T00:10:00Z,Boston Bruins,New York Rangers,BOS,NYR,,False,odds_api_flattened,False,7,3,True,True,True,New York Rangers at Boston Bruins,2026-09-30T00:10:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
nhl,82c96670ad269b3647066b5e5032e0fd,2026-09-30,2026-09-30T02:10:00Z,Edmonton Oilers,Vancouver Canucks,EDM,VAN,,False,odds_api_flattened,False,7,3,True,True,True,Vancouver Canucks at Edmonton Oilers,2026-09-30T02:10:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
nhl,deceabd9bfa9fdbfb352546844ecee9b,2026-09-30,2026-09-30T02:40:00Z,Vegas Golden Knights,Chicago Blackhawks,VGK,CHI,,False,odds_api_flattened,False,7,3,True,True,True,Chicago Blackhawks at Vegas Golden Knights,2026-09-30T02:40:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
nhl,255dd8cc841121349fe98f49791da840,2026-09-30,2026-09-30T23:40:00Z,Philadelphia Flyers,Pittsburgh Penguins,PHI,PIT,,False,odds_api_flattened,False,3,3,True,True,True,Pittsburgh Penguins at Philadelphia Flyers,2026-09-30T23:40:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
nhl,13520f2d7e050ef0f37b2c8ba7ff4a53,2026-10-01,2026-10-01T02:10:00Z,Colorado Avalanche,Los Angeles Kings,COL,LAK,,False,odds_api_flattened,False,3,3,True,True,True,Los Angeles Kings at Colorado Avalanche,2026-10-01T02:10:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
nhl,4cfafb524b2107d73365ce0709b59dd8,2026-10-01,2026-10-01T23:10:00Z,Columbus Blue Jackets,Buffalo Sabres,CBJ,BUF,,False,odds_api_flattened,False,2,3,True,True,True,Buffalo Sabres at Columbus Blue Jackets,2026-10-01T23:10:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
nhl,adafb8ad64a5e4413184d98e9c06820d,2026-10-01,2026-10-01T23:10:00Z,New Jersey Devils,Philadelphia Flyers,NJD,PHI,,False,odds_api_flattened,False,2,3,True,True,True,Philadelphia Flyers at New Jersey Devils,2026-10-01T23:10:00Z,Bridge artifact only. Not a predictive model output. No ROI or pick generated.
