all_time_snapshot_count,away_abbr,away_avg_points_against,away_avg_points_for,away_fatigue_flag,away_fatigue_score,away_last5_points_against,away_last5_points_for,away_net_rating,away_net_rating_last5,away_points,away_rest_bucket,away_rest_days,away_team,away_team_3pa,away_team_3pm,away_team_3pt_pct,away_team_id,consensus_book_count,fatigue_diff_home_minus_away,game_date,game_id,home_abbr,home_avg_points_against,home_avg_points_for,home_fatigue_flag,home_fatigue_score,home_injury_impact,home_last5_points_against,home_last5_points_for,home_net_rating,home_net_rating_last5,home_num_out,home_num_questionable,home_points,home_rest_bucket,home_rest_days,home_team,home_team_3pa,home_team_3pm,home_team_3pt_pct,home_team_id,moneyline_away_consensus,moneyline_away_consensus_all_time,moneyline_away_last,moneyline_home_consensus,moneyline_home_consensus_all_time,moneyline_home_last,nba_game_day_local,odds_commence_time_utc,odds_join_method,odds_snapshot_last_utc,ot_minutes,season_year,spread_away_consensus,spread_away_consensus_all_time,spread_away_last,spread_home_consensus,spread_home_consensus_all_time,spread_home_last,total_consensus,total_consensus_all_time,total_last,went_ot
,PHI,,,False,0.0,,,,,84,3_plus_days,1865,Philadelphia 76ers,35,3,0.0857,1610612755,,0.0,2025-10-02T00:00:00Z,0012500008,NYK,,,False,0.0,0.0,,,,,0,0,99,3_plus_days,2030,New York Knicks,39,8,0.2051,1610612752,,,,,,,2025-10-02,,,,0,2025,,,,,,,,,,False
,PHX,,,False,0.0,,,,,103,3_plus_days,1876,Phoenix Suns,41,13,0.3171,1610612756,,0.0,2025-10-03T00:00:00Z,0012500001,LAL,,,False,0.0,0.0,,,,,0,0,81,3_plus_days,1817,Los Angeles Lakers,35,6,0.1714,1610612747,,,,,,,2025-10-03,,,,0,2025,,,,,,,,,,False
,NYK,,,True,0.4,,,,,113,1_day,1,New York Knicks,36,12,0.3333,1610612752,,0.0,2025-10-04T00:00:00Z,0012500010,PHI,,,True,0.4,0.0,,,,,0,0,104,1_day,1,Philadelphia 76ers,33,12,0.3636,1610612755,,,,,,,2025-10-04,,,,0,2025,,,,,,,,,,False
,ORL,,,False,0.0,,,,,126,3_plus_days,1861,Orlando Magic,39,13,0.3333,1610612753,,0.0,2025-10-04T00:00:00Z,0012500027,MIA,,,False,0.0,0.0,,,,,0,0,118,3_plus_days,1818,Miami Heat,29,14,0.4828,1610612748,,,,,,,2025-10-04,,,,0,2025,,,,,,,,,,False
,MIN,,,False,0.0,,,,,126,3_plus_days,2033,Minnesota Timberwolves,30,15,0.5,1610612750,,0.0,2025-10-04T00:00:00Z,0012500028,DEN,,,False,0.0,0.0,,,,,0,0,116,3_plus_days,1833,Denver Nuggets,28,11,0.3929,1610612743,,,,,,,2025-10-04,,,,0,2025,,,,,,,,,,False
,OKC,,,False,0.0,,,,,135,3_plus_days,1858,Oklahoma City Thunder,49,20,0.4082,1610612760,,0.0,2025-10-05T00:00:00Z,0012500029,CHA,,,False,0.0,0.0,,,,,0,0,114,3_plus_days,2033,Charlotte Hornets,51,15,0.2941,1610612766,,,,,,,2025-10-05,,,,0,2025,,,,,,,,,,False
,LAL,,,True,0.4,,,,,103,1_day,1,Los Angeles Lakers,34,12,0.3529,1610612747,,-0.4,2025-10-05T00:00:00Z,0012500030,GSW,,,False,0.0,0.0,,,,,0,0,111,3_plus_days,2034,Golden State Warriors,43,17,0.3953,1610612744,,,,,,,2025-10-05,,,,0,2025,,,,,,,,,,False
,MIL,,,False,0.0,,,,,103,3_plus_days,1853,Milwaukee Bucks,41,13,0.3171,1610612749,,0.4,2025-10-06T00:00:00Z,0012500002,MIA,126.0,118.0,True,0.4,0.0,,,-8.0,,0,0,93,1_day,1,Miami Heat,28,8,0.2857,1610612748,,,,,,,2025-10-06,,,,0,2025,,,,,,,,,,False
,ATL,,,False,0.0,,,,,113,3_plus_days,2034,Atlanta Hawks,49,15,0.3061,1610612737,,0.0,2025-10-06T00:00:00Z,0012500014,HOU,,,False,0.0,0.0,,,,,0,0,122,3_plus_days,1849,Houston Rockets,34,14,0.4118,1610612745,,,,,,,2025-10-06,,,,0,2025,,,,,,,,,,False
,DET,,,False,0.0,,,,,128,3_plus_days,2034,Detroit Pistons,39,14,0.359,1610612765,,0.0,2025-10-06T00:00:00Z,0012500031,MEM,,,False,0.0,0.0,,,,,0,0,112,3_plus_days,1877,Memphis Grizzlies,49,20,0.4082,1610612763,,,,,,,2025-10-06,,,,0,2025,,,,,,,,,,False
