nba_game_day_local,game_id,away_team,home_team,away_score,home_score,margin_home_minus_away,actual_total,MARKET,vegas_spread_home,vegas_total,MODELS,model,model_projected_margin,model_spread_edge,model_projected_total,model_total_edge,model_spread_pick,model_total_pick,model_spread_result,model_total_result,model_parlay_result,AUTHORITY,authority_spread_pick,authority_total_pick,authority_spread_result,authority_total_result,selection_authority,is_authority,MODEL_FATIGUE,home_rest_bucket,away_rest_bucket,home_fatigue_score,away_fatigue_score,fatigue_diff_home_minus_away,MODEL_INJURY,home_injury_impact,away_injury_impact,FUTURE_MODEL_3PT,home_score_final,home_team_3pa,home_team_3pm,home_team_3pt_pct,away_team_3pa,away_team_3pm,away_team_3pt_pct,FUTURE_AGENT_DECISION_INFO,disagreement_flag,arbitration_cluster,confidence_tier,confidence_reason,consensus_book_count,agent_override_confidence_delta,agent_override_pick,agent_override_reason,all_time_snapshot_count,arbitration,TIPOFF,odds_commence_time_cst
2026-01-29,0022500529,Miami Heat,Chicago Bulls,116,113,-3,229,>>>,2.5,238.0,>>>,FatiguePlus_v3,-0.39814814814815236,-2.8981481481481524,233.27973544973545,-4.720264550264545,HOME,UNDER,LOSS,WIN,LOSS,>>>,HOME,UNDER,LOSS,WIN,Joel_Baseline_v1,False,>>>,b2b,b2b,1.6,1.6,0.0,>>>,0.0,,>>>,113,38.0,15.0,0.3947,36.0,12.0,0.3333,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,1,"{'spread': {'directional_pct': 1.0, 'weighted_score': 28.755, 'tier_score': 28.755, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 27.107, 'tier_score': 23.235, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-29T19:10:00-06:00
2026-01-29,0022500529,Miami Heat,Chicago Bulls,116,113,-3,229,>>>,2.5,238.0,>>>,InjuryModel_v2,-0.39814814814815236,-2.8981481481481524,235.19973544973544,-2.800264550264558,HOME,UNDER,LOSS,WIN,LOSS,>>>,HOME,UNDER,LOSS,WIN,Joel_Baseline_v1,False,>>>,b2b,b2b,1.6,1.6,0.0,>>>,0.0,,>>>,113,38.0,15.0,0.3947,36.0,12.0,0.3333,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,1,"{'spread': {'directional_pct': 1.0, 'weighted_score': 28.755, 'tier_score': 28.755, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 27.107, 'tier_score': 23.235, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-29T19:10:00-06:00
2026-01-29,0022500529,Miami Heat,Chicago Bulls,116,113,-3,229,>>>,2.5,238.0,>>>,Joel_Baseline_v1,-0.39814814814815236,2.8981481481481524,235.19973544973544,-2.800264550264558,HOME,UNDER,LOSS,WIN,LOSS,>>>,HOME,UNDER,LOSS,WIN,Joel_Baseline_v1,True,>>>,b2b,b2b,1.6,1.6,0.0,>>>,0.0,,>>>,113,38.0,15.0,0.3947,36.0,12.0,0.3333,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,1,"{'spread': {'directional_pct': 1.0, 'weighted_score': 28.755, 'tier_score': 28.755, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 27.107, 'tier_score': 23.235, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-29T19:10:00-06:00
2026-01-29,0022500529,Miami Heat,Chicago Bulls,116,113,-3,229,>>>,2.5,238.0,>>>,MarketBlend_v1,-1.0219444444444434,-3.5219444444444434,236.57186507936507,-1.4281349206349319,HOME,UNDER,LOSS,WIN,LOSS,>>>,HOME,UNDER,LOSS,WIN,Joel_Baseline_v1,False,>>>,b2b,b2b,1.6,1.6,0.0,>>>,0.0,,>>>,113,38.0,15.0,0.3947,36.0,12.0,0.3333,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,1,"{'spread': {'directional_pct': 1.0, 'weighted_score': 28.755, 'tier_score': 28.755, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 27.107, 'tier_score': 23.235, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-29T19:10:00-06:00
2026-01-29,0022500529,Miami Heat,Chicago Bulls,116,113,-3,229,>>>,2.5,238.0,>>>,MarketPressure_v2,-0.39814814814815236,-2.8981481481481524,235.89980158730157,-2.1001984126984325,HOME,UNDER,LOSS,WIN,LOSS,>>>,HOME,UNDER,LOSS,WIN,Joel_Baseline_v1,False,>>>,b2b,b2b,1.6,1.6,0.0,>>>,0.0,,>>>,113,38.0,15.0,0.3947,36.0,12.0,0.3333,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,1,"{'spread': {'directional_pct': 1.0, 'weighted_score': 28.755, 'tier_score': 28.755, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 27.107, 'tier_score': 23.235, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-29T19:10:00-06:00
2026-01-29,0022500529,Miami Heat,Chicago Bulls,116,113,-3,229,>>>,2.5,238.0,>>>,Momentum5Game_v1,0.5,-2.0,239.5,1.5,HOME,OVER,LOSS,LOSS,LOSS,>>>,HOME,UNDER,LOSS,WIN,Joel_Baseline_v1,False,>>>,b2b,b2b,1.6,1.6,0.0,>>>,0.0,,>>>,113,38.0,15.0,0.3947,36.0,12.0,0.3333,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,1,"{'spread': {'directional_pct': 1.0, 'weighted_score': 28.755, 'tier_score': 28.755, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 27.107, 'tier_score': 23.235, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-29T19:10:00-06:00
2026-01-29,0022500529,Miami Heat,Chicago Bulls,116,113,-3,229,>>>,2.5,238.0,>>>,MonkeyDarts_v2,-9.140751330383825,-11.640751330383825,226.24171998780577,-11.758280012194234,HOME,UNDER,LOSS,WIN,LOSS,>>>,HOME,UNDER,LOSS,WIN,Joel_Baseline_v1,False,>>>,b2b,b2b,1.6,1.6,0.0,>>>,0.0,,>>>,113,38.0,15.0,0.3947,36.0,12.0,0.3333,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,1,"{'spread': {'directional_pct': 1.0, 'weighted_score': 28.755, 'tier_score': 28.755, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 27.107, 'tier_score': 23.235, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-29T19:10:00-06:00
2026-01-25,0022500644,Golden State Warriors,Minnesota Timberwolves,111,85,-26,196,>>>,-6.5,236.5,>>>,FatiguePlus_v3,-3.8867753623188435,2.6132246376811565,228.3788768115942,-8.12112318840579,AWAY,UNDER,WIN,WIN,WIN,>>>,AWAY,UNDER,WIN,WIN,Joel_Baseline_v1,False,>>>,2_days,2_days,0.15,0.15,0.0,>>>,0.0,,>>>,85,38.0,13.0,0.3421,51.0,16.0,0.3137,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,6,"{'spread': {'directional_pct': 1.0, 'weighted_score': 38.556, 'tier_score': 38.556, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 45.225, 'tier_score': 38.765, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-25T16:40:00-06:00
2026-01-25,0022500644,Golden State Warriors,Minnesota Timberwolves,111,85,-26,196,>>>,-6.5,236.5,>>>,InjuryModel_v2,-3.8867753623188435,2.6132246376811565,228.55887681159422,-7.941123188405783,AWAY,UNDER,WIN,WIN,WIN,>>>,AWAY,UNDER,WIN,WIN,Joel_Baseline_v1,False,>>>,2_days,2_days,0.15,0.15,0.0,>>>,0.0,,>>>,85,38.0,13.0,0.3421,51.0,16.0,0.3137,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,6,"{'spread': {'directional_pct': 1.0, 'weighted_score': 38.556, 'tier_score': 38.556, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 45.225, 'tier_score': 38.765, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-25T16:40:00-06:00
2026-01-25,0022500644,Golden State Warriors,Minnesota Timberwolves,111,85,-26,196,>>>,-6.5,236.5,>>>,Joel_Baseline_v1,-3.8867753623188435,-2.6132246376811565,228.55887681159422,-7.941123188405783,AWAY,UNDER,WIN,WIN,WIN,>>>,AWAY,UNDER,WIN,WIN,Joel_Baseline_v1,True,>>>,2_days,2_days,0.15,0.15,0.0,>>>,0.0,,>>>,85,38.0,13.0,0.3421,51.0,16.0,0.3137,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,6,"{'spread': {'directional_pct': 1.0, 'weighted_score': 38.556, 'tier_score': 38.556, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 45.225, 'tier_score': 38.765, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-25T16:40:00-06:00
