game_id,game_date,odds_commence_time_utc,odds_commence_time_cst,season_year,went_ot,ot_minutes,home_team_id,home_team,home_abbr,home_points,home_rest_days,home_rest_bucket,home_fatigue_flag,home_fatigue_score,home_avg_points_for,home_avg_points_against,home_net_rating,away_team_id,away_team,away_abbr,away_points,away_rest_days,away_rest_bucket,away_fatigue_flag,away_fatigue_score,away_avg_points_for,away_avg_points_against,away_net_rating,home_team_3pm,home_team_3pa,home_team_3pt_pct,away_team_3pm,away_team_3pa,away_team_3pt_pct,avg_team_3pm,avg_team_3pa,avg_team_3pt_pct,home_away_3pt_pct_diff,spread_home,spread_away,total,moneyline_home,moneyline_away,odds_source_used,Projected Home Score,Projected Away score,Total Projection,Total Bet,Home Line Projection,Line Bet,Spread Edge,Total Edge,Parlay Edge Score,Explanation,Line Result,odds_snapshot_utc,odds_match_method,Decision Factors,actionability,agent_override_confidence_delta,agent_override_pick,agent_override_reason,all_time_snapshot_count,confidence_reason,consensus_book_count,fatigue_diff_home_minus_away,home_injury_impact,home_num_out,home_num_questionable,moneyline_away_consensus,moneyline_away_consensus_all_time,moneyline_away_last,moneyline_home_consensus,moneyline_home_consensus_all_time,moneyline_home_last,nba_game_day_local,odds_commence_time_raw,odds_join_method,odds_snapshot_last_utc,spread_away_consensus,spread_away_consensus_all_time,spread_away_last,spread_home_consensus,spread_home_consensus_all_time,spread_home_last,total_consensus,total_consensus_all_time,total_last
0012500008,2025-10-02T00:00:00Z,,,2025,False,0,1610612752,New York Knicks,NYK,99,,unknown,False,0.0,,,,1610612755,Philadelphia 76ers,PHI,84,,unknown,False,0.0,,,,8,39,0.2051,3,35,0.0857,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-02,,,,,,,,,,,,
0012500001,2025-10-03T00:00:00Z,,,2025,False,0,1610612747,Los Angeles Lakers,LAL,81,,unknown,False,0.0,,,,1610612756,Phoenix Suns,PHX,103,,unknown,False,0.0,,,,6,35,0.1714,13,41,0.3171,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-03,,,,,,,,,,,,
0012500010,2025-10-04T00:00:00Z,,,2025,False,0,1610612755,Philadelphia 76ers,PHI,104,1,1_day,True,0.4,115.0,119.12,-4.12,1610612752,New York Knicks,NYK,113,1,1_day,True,0.4,114.33,113.28,1.06,12,33,0.3636,12,36,0.3333,,,,,,,,,,LAST,114.14,116.725,230.865,,2.5849999999999937,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-04,,,,,,,,,,,,
0012500027,2025-10-04T00:00:00Z,,,2025,False,0,1610612748,Miami Heat,MIA,118,,unknown,False,0.0,,,,1610612753,Orlando Magic,ORL,126,,unknown,False,0.0,,,,14,29,0.4828,13,39,0.3333,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-04,,,,,,,,,,,,
0012500028,2025-10-04T00:00:00Z,,,2025,False,0,1610612743,Denver Nuggets,DEN,116,,unknown,False,0.0,,,,1610612750,Minnesota Timberwolves,MIN,126,,unknown,False,0.0,,,,11,28,0.3929,15,30,0.5,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-04,,,,,,,,,,,,
0012500029,2025-10-05T00:00:00Z,,,2025,False,0,1610612766,Charlotte Hornets,CHA,114,,unknown,False,0.0,,,,1610612760,Oklahoma City Thunder,OKC,135,,unknown,False,0.0,,,,15,51,0.2941,20,49,0.4082,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-05,,,,,,,,,,,,
0012500030,2025-10-05T00:00:00Z,,,2025,False,0,1610612744,Golden State Warriors,GSW,111,,unknown,False,0.0,,,,1610612747,Los Angeles Lakers,LAL,103,1,1_day,True,0.4,113.78,113.17,0.61,17,43,0.3953,12,34,0.3529,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,-0.4,0.0,0,0,,,,,,,2025-10-05,,,,,,,,,,,,
0012500002,2025-10-06T00:00:00Z,,,2025,False,0,1610612748,Miami Heat,MIA,93,1,1_day,True,0.4,121.62,118.38,3.25,1610612749,Milwaukee Bucks,MIL,103,,unknown,False,0.0,,,,8,28,0.2857,13,41,0.3171,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.4,0.0,0,0,,,,,,,2025-10-06,,,,,,,,,,,,
0012500014,2025-10-06T00:00:00Z,,,2025,False,0,1610612745,Houston Rockets,HOU,122,,unknown,False,0.0,,,,1610612737,Atlanta Hawks,ATL,113,,unknown,False,0.0,,,,14,34,0.4118,15,49,0.3061,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-06,,,,,,,,,,,,
0012500031,2025-10-06T00:00:00Z,,,2025,False,0,1610612763,Memphis Grizzlies,MEM,112,,unknown,False,0.0,,,,1610612765,Detroit Pistons,DET,128,,unknown,False,0.0,,,,20,49,0.4082,14,39,0.359,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-06,,,,,,,,,,,,
0012500033,2025-10-06T00:00:00Z,,,2025,False,0,1610612742,Dallas Mavericks,DAL,106,,unknown,False,0.0,,,,1610612760,Oklahoma City Thunder,OKC,89,0,b2b,True,1.6,110.5,119.75,-9.25,11,35,0.3143,14,51,0.2745,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,-1.6,0.0,0,0,,,,,,,2025-10-06,,,,,,,,,,,,
0012500034,2025-10-06T00:00:00Z,,,2025,False,0,1610612761,Toronto Raptors,TOR,108,,unknown,False,0.0,,,,1610612743,Denver Nuggets,DEN,112,1,1_day,True,0.4,118.94,116.94,2.0,10,42,0.2381,11,29,0.3793,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,-0.4,0.0,0,0,,,,,,,2025-10-06,,,,,,,,,,,,
0012500035,2025-10-07T00:00:00Z,,,2025,False,0,1610612739,Cleveland Cavaliers,CLE,117,,unknown,False,0.0,,,,1610612741,Chicago Bulls,CHI,118,,unknown,False,0.0,,,,15,41,0.3659,13,40,0.325,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-07,,,,,,,,,,,,
0012500036,2025-10-07T00:00:00Z,,,2025,True,5,1610612750,Minnesota Timberwolves,MIN,134,2,2_days,True,0.5,104.67,114.0,-9.33,1610612754,Indiana Pacers,IND,135,,unknown,True,0.35,,,,17,36,0.4722,20,46,0.4348,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.15,0.0,0,0,,,,,,,2025-10-07,,,,,,,,,,,,
0012500003,2025-10-08T00:00:00Z,,,2025,False,0,1610612748,Miami Heat,MIA,107,1,1_day,True,0.4,121.62,118.38,3.25,1610612759,San Antonio Spurs,SAS,112,,unknown,False,0.0,,,,10,29,0.3448,13,36,0.3611,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.4,0.0,0,0,,,,,,,2025-10-08,,,,,,,,,,,,
0012500015,2025-10-08T00:00:00Z,,,2025,False,0,1610612744,Golden State Warriors,GSW,129,2,2_days,True,0.15,120.83,113.0,7.83,1610612757,Portland Trail Blazers,POR,123,,unknown,False,0.0,,,,19,45,0.4222,16,48,0.3333,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.15,0.0,0,0,,,,,,,2025-10-08,,,,,,,,,,,,
0012500016,2025-10-08T00:00:00Z,,,2025,False,0,1610612758,Sacramento Kings,SAC,122,,unknown,False,0.0,,,,1610612761,Toronto Raptors,TOR,130,1,1_day,True,0.4,116.36,111.07,5.29,10,33,0.303,20,37,0.5405,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,-0.4,0.0,0,0,,,,,,,2025-10-08,,,,,,,,,,,,
0012500037,2025-10-08T00:00:00Z,,,2025,False,0,1610612745,Houston Rockets,HOU,140,1,1_day,True,0.4,112.5,107.75,4.75,1610612762,Utah Jazz,UTA,127,,unknown,False,0.0,,,,13,34,0.3824,20,45,0.4444,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.4,0.0,0,0,,,,,,,2025-10-08,,,,,,,,,,,,
0012500038,2025-10-08T00:00:00Z,,,2025,False,0,1610612763,Memphis Grizzlies,MEM,103,1,1_day,True,0.4,116.4,116.93,-0.53,1610612738,Boston Celtics,BOS,121,,unknown,False,0.0,,,,7,38,0.1842,15,53,0.283,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.4,0.0,0,0,,,,,,,2025-10-08,,,,,,,,,,,,
0012500039,2025-10-09T00:00:00Z,,,2025,True,5,1610612752,New York Knicks,NYK,100,4,3_plus_days,True,0.35,126.5,104.5,22.0,1610612750,Minnesota Timberwolves,MIN,95,1,1_day,True,0.75,125.82,122.29,3.53,15,57,0.2632,15,38,0.3947,,,,,,,,,,LAST,124.39500000000001,115.16,239.555,,-9.235000000000014,,,,,,,,,{},NONE,,,,,No model signal,,-0.4,0.0,0,0,,,,,,,2025-10-09,,,,,,,,,,,,
0012500040,2025-10-09T00:00:00Z,,,2025,False,0,1610612741,Chicago Bulls,CHI,119,1,1_day,True,0.4,116.61,120.11,-3.5,1610612739,Cleveland Cavaliers,CLE,112,1,1_day,True,0.4,121.06,117.12,3.94,14,42,0.3333,16,41,0.3902,,,,,,,,,,LAST,116.86500000000001,120.58500000000001,237.45000000000002,,3.719999999999999,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-09,,,,,,,,,,,,
0012500041,2025-10-09T00:00:00Z,,,2025,False,0,1610612749,Milwaukee Bucks,MIL,117,2,2_days,True,0.15,120.0,116.5,3.5,1610612765,Detroit Pistons,DET,111,2,2_days,True,0.15,115.8,113.2,2.6,18,36,0.5,10,33,0.303,,,,,,,,,,LAST,116.6,116.15,232.75,,-0.44999999999998863,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-09,,,,,,,,,,,,
0012500042,2025-10-09T00:00:00Z,,,2025,False,0,1610612760,Oklahoma City Thunder,OKC,122,2,2_days,True,0.15,122.88,105.12,17.75,1610612766,Charlotte Hornets,CHA,116,3,3_plus_days,False,0.0,,,,15,43,0.3488,16,43,0.3721,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.15,0.0,0,0,,,,,,,2025-10-09,,,,,,,,,,,,
