game_id,game_date,home_team,away_team,spread_pick,total_pick,spread_edge,total_edge,parlay_edge_score,spread_home_last,total_last,moneyline_home_last,confidence_tier,cluster_alignment,disagreement_flag,actionability
0012500001,2025-10-03T00:00:00Z,Los Angeles Lakers,Phoenix Suns,,,,,,,,,IGNORE,NONE,False,
0012500002,2025-10-06T00:00:00Z,Miami Heat,Milwaukee Bucks,,,,,,,,,IGNORE,NONE,False,
0012500003,2025-10-08T00:00:00Z,Miami Heat,San Antonio Spurs,,,,,,,,,IGNORE,NONE,False,
0012500004,2025-10-12T00:00:00Z,Los Angeles Lakers,Golden State Warriors,,,,,,,,,IGNORE,NONE,False,
0012500005,2025-10-15T00:00:00Z,Los Angeles Lakers,Dallas Mavericks,,,,,,,,,IGNORE,NONE,False,
0012500006,2025-10-17T00:00:00Z,Miami Heat,Memphis Grizzlies,,,,,,,,,IGNORE,NONE,False,
0012500007,2025-10-17T00:00:00Z,Los Angeles Lakers,Sacramento Kings,,,,,,,,,IGNORE,NONE,False,
0012500008,2025-10-02T00:00:00Z,New York Knicks,Philadelphia 76ers,,,,,,,,,IGNORE,NONE,False,
0012500010,2025-10-04T00:00:00Z,Philadelphia 76ers,New York Knicks,,,,,,,,,IGNORE,NONE,False,
0012500012,2025-10-10T00:00:00Z,Brooklyn Nets,Phoenix Suns,,,,,,,,,IGNORE,NONE,False,
0012500013,2025-10-12T00:00:00Z,Phoenix Suns,Brooklyn Nets,,,,,,,,,IGNORE,NONE,False,
0012500014,2025-10-06T00:00:00Z,Houston Rockets,Atlanta Hawks,,,,,,,,,IGNORE,NONE,False,
0012500015,2025-10-08T00:00:00Z,Golden State Warriors,Portland Trail Blazers,,,,,,,,,IGNORE,NONE,False,
0012500016,2025-10-08T00:00:00Z,Sacramento Kings,Toronto Raptors,,,,,,,,,IGNORE,NONE,False,
0012500017,2025-10-10T00:00:00Z,Portland Trail Blazers,Sacramento Kings,,,,,,,,,IGNORE,NONE,False,
0012500018,2025-10-11T00:00:00Z,Memphis Grizzlies,Atlanta Hawks,,,,,,,,,IGNORE,NONE,False,
0012500019,2025-10-13T00:00:00Z,Atlanta Hawks,Miami Heat,,,,,,,,,IGNORE,NONE,False,
0012500020,2025-10-14T00:00:00Z,New Orleans Pelicans,Houston Rockets,,,,,,,,,IGNORE,NONE,False,
0012500021,2025-10-14T00:00:00Z,Portland Trail Blazers,Golden State Warriors,,,,,,,,,IGNORE,NONE,False,
0012500022,2025-10-15T00:00:00Z,Sacramento Kings,LA Clippers,,,,,,,,,IGNORE,NONE,False,
0012500023,2025-10-16T00:00:00Z,Orlando Magic,New Orleans Pelicans,,,,,,,,,IGNORE,NONE,False,
0012500024,2025-10-16T00:00:00Z,Atlanta Hawks,Houston Rockets,,,,,,,,,IGNORE,NONE,False,
0012500025,2025-10-16T00:00:00Z,Utah Jazz,Portland Trail Blazers,,,,,,,,,IGNORE,NONE,False,
0012500027,2025-10-04T00:00:00Z,Miami Heat,Orlando Magic,,,,,,,,,IGNORE,NONE,False,
0012500028,2025-10-04T00:00:00Z,Denver Nuggets,Minnesota Timberwolves,,,,,,,,,IGNORE,NONE,False,
0012500029,2025-10-05T00:00:00Z,Charlotte Hornets,Oklahoma City Thunder,,,,,,,,,IGNORE,NONE,False,
0012500030,2025-10-05T00:00:00Z,Golden State Warriors,Los Angeles Lakers,,,,,,,,,IGNORE,NONE,False,
0012500031,2025-10-06T00:00:00Z,Memphis Grizzlies,Detroit Pistons,,,,,,,,,IGNORE,NONE,False,
0012500033,2025-10-06T00:00:00Z,Dallas Mavericks,Oklahoma City Thunder,,,,,,,,,IGNORE,NONE,False,
0012500034,2025-10-06T00:00:00Z,Toronto Raptors,Denver Nuggets,,,,,,,,,IGNORE,NONE,False,
0012500035,2025-10-07T00:00:00Z,Cleveland Cavaliers,Chicago Bulls,,,,,,,,,IGNORE,NONE,False,
0012500036,2025-10-07T00:00:00Z,Minnesota Timberwolves,Indiana Pacers,,,,,,,,,IGNORE,NONE,False,
0012500037,2025-10-08T00:00:00Z,Houston Rockets,Utah Jazz,,,,,,,,,IGNORE,NONE,False,
0012500038,2025-10-08T00:00:00Z,Memphis Grizzlies,Boston Celtics,,,,,,,,,IGNORE,NONE,False,
0012500039,2025-10-09T00:00:00Z,New York Knicks,Minnesota Timberwolves,,,,,,,,,IGNORE,NONE,False,
0012500040,2025-10-09T00:00:00Z,Chicago Bulls,Cleveland Cavaliers,,,,,,,,,IGNORE,NONE,False,
0012500041,2025-10-09T00:00:00Z,Milwaukee Bucks,Detroit Pistons,,,,,,,,,IGNORE,NONE,False,
0012500042,2025-10-09T00:00:00Z,Oklahoma City Thunder,Charlotte Hornets,,,,,,,,,IGNORE,NONE,False,
0012500044,2025-10-10T00:00:00Z,Toronto Raptors,Boston Celtics,,,,,,,,,IGNORE,NONE,False,
0012500045,2025-10-10T00:00:00Z,San Antonio Spurs,Utah Jazz,,,,,,,,,IGNORE,NONE,False,
0012500046,2025-10-11T00:00:00Z,Indiana Pacers,Oklahoma City Thunder,,,,,,,,,IGNORE,NONE,False,
0012500047,2025-10-11T00:00:00Z,Dallas Mavericks,Charlotte Hornets,,,,,,,,,IGNORE,NONE,False,
0012500048,2025-10-12T00:00:00Z,Washington Wizards,Toronto Raptors,,,,,,,,,IGNORE,NONE,False,
0012500049,2025-10-12T00:00:00Z,Orlando Magic,Miami Heat,,,,,,,,,IGNORE,NONE,False,
0012500050,2025-10-12T00:00:00Z,Boston Celtics,Cleveland Cavaliers,,,,,,,,,IGNORE,NONE,False,
0012500051,2025-10-12T00:00:00Z,Chicago Bulls,Milwaukee Bucks,,,,,,,,,IGNORE,NONE,False,
0012500052,2025-10-12T00:00:00Z,LA Clippers,Denver Nuggets,,,,,,,,,IGNORE,NONE,False,
